Te, Ar+0, Ar+1, Ar+2, Ar+3, Ar+4, Ar+5, Ar+6, Ar+7, Ar+8, Ar+9, Ar+10, Ar+11, Ar+12, Ar+13, Ar+14, Ar+15, Ar+16, Ar+17, Ar+18
4.4682e+02, 1.0000e-36, 7.1282e-36, 1.1706e-30, 6.2579e-26, 1.0979e-21, 1.4664e-17, 4.7596e-14, 2.0992e-10, 1.5948e-08, 5.8003e-07, 1.2814e-05, 1.8222e-04, 1.8146e-03, 1.7035e-02, 7.3168e-02, 2.3151e-01, 6.7616e-01, 1.1641e-04, 2.9771e-09
4.9383e+02, 1.0000e-36, 1.0000e-36, 7.7110e-32, 4.7327e-27, 9.6034e-23, 1.4908e-18, 5.6539e-15, 2.9634e-11, 2.6248e-09, 1.1637e-07, 3.1640e-06, 5.5855e-05, 7.0208e-04, 8.4294e-03, 4.6808e-02, 1.9488e-01, 7.4878e-01, 3.4616e-04, 2.5503e-08
5.4578e+02, 1.0000e-36, 1.0000e-36, 5.4057e-33, 3.8040e-28, 8.9116e-24, 1.6042e-19, 7.0911e-16, 4.4040e-12, 4.5483e-10, 2.4474e-08, 8.1464e-07, 1.7750e-05, 2.7953e-04, 4.2543e-03, 3.0241e-02, 1.6365e-01, 8.0065e-01, 9.1027e-04, 1.7663e-07
6.0320e+02, 1.0000e-36, 1.0000e-36, 4.0578e-34, 3.2696e-29, 8.8283e-25, 1.8388e-20, 9.4524e-17, 6.9368e-13, 8.3520e-11, 5.4322e-09, 2.2031e-07, 5.8931e-06, 1.1547e-04, 2.2098e-03, 1.9926e-02, 1.3861e-01, 8.3697e-01, 2.1587e-03, 1.0170e-06
6.6667e+02, 1.0000e-36, 1.0000e-36, 3.2631e-35, 3.0068e-30, 9.3425e-26, 2.2469e-21, 1.3406e-17, 1.1594e-13, 1.6269e-11, 1.2741e-09, 6.2684e-08, 2.0481e-06, 4.9621e-05, 1.1851e-03, 1.3445e-02, 1.1903e-01, 8.6160e-01, 4.6819e-03, 4.9760e-06
7.3681e+02, 1.0000e-36, 1.0000e-36, 2.8019e-36, 2.9492e-31, 1.0529e-26, 2.9184e-22, 2.0171e-18, 2.0505e-14, 3.3516e-12, 3.1495e-10, 1.8718e-08, 7.4355e-07, 2.2144e-05, 6.5554e-04, 9.2859e-03, 1.0368e-01, 8.7695e-01, 9.3851e-03, 2.1053e-05
8.1433e+02, 1.0000e-36, 1.0000e-36, 1.0000e-36, 3.0676e-32, 1.2565e-27, 4.0067e-23, 3.2021e-19, 3.8154e-15, 7.2602e-13, 8.1581e-11, 5.8343e-09, 2.8053e-07, 1.0215e-05, 3.7244e-04, 6.5414e-03, 9.1353e-02, 8.8412e-01, 1.7529e-02, 7.8132e-05
9.0000e+02, 1.0000e-36, 1.0000e-36, 1.0000e-36, 3.3584e-33, 1.5761e-28, 5.7719e-24, 5.3244e-20, 7.4162e-16, 1.6415e-13, 2.1988e-11, 1.8853e-09, 1.0927e-07, 4.8404e-06, 2.1610e-04, 4.6758e-03, 8.1058e-02, 8.8309e-01, 3.0699e-02, 2.5744e-04
9.9469e+02, 1.0000e-36, 1.0000e-36, 1.0000e-36, 3.8360e-34, 2.0600e-29, 8.6499e-25, 9.1945e-21, 1.4937e-16, 3.8427e-14, 6.1172e-12, 6.2668e-10, 4.3620e-08, 2.3396e-06, 1.2721e-04, 3.3706e-03, 7.2035e-02, 8.7304e-01, 5.0662e-02, 7.6071e-04
1.0993e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 4.5286e-35, 2.7795e-30, 1.3362e-25, 1.6341e-21, 3.0904e-17, 9.2327e-15, 1.7419e-12, 2.1254e-10, 1.7703e-08, 1.1447e-06, 7.5419e-05, 2.4339e-03, 6.3721e-02, 8.5265e-01, 7.9084e-02, 2.0333e-03
1.2150e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 5.4828e-36, 3.8413e-31, 2.1112e-26, 2.9661e-22, 6.5176e-18, 2.2590e-15, 5.0379e-13, 7.2992e-11, 7.2507e-09, 5.6298e-07, 4.4737e-05, 1.7494e-03, 5.5783e-02, 8.2042e-01, 1.1705e-01, 4.9484e-03
1.3428e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 5.3957e-32, 3.3851e-27, 5.4558e-23, 1.3901e-18, 5.5845e-16, 1.4684e-13, 2.5192e-11, 2.9751e-09, 2.7633e-07, 2.6368e-05, 1.2435e-03, 4.8039e-02, 7.7515e-01, 1.6452e-01, 1.1023e-02
1.4841e+03, 1.0000e-36, 1.0000e-36, 1.0000e-36, 1.0000e-36, 7.6449e-33, 5.4673e-28, 1.0096e-23, 2.9766e-19, 1.3846e-16, 4.2827e-14, 8.6760e-12, 1.2145e-09, 1.3446e-07, 1.5345e-05, 8.6891e-04, 4.0469e-02, 7.1642e-01, 2.1966e-01, 2.2564e-02
